PLANT_ID,Epichloe.presence,immunoblot.date,tested.by,scored.by,entered.by,Oven-dried.weight(g),Date.weighed,Scale used,Weighed by,Date harvested 
63,0,11/11/2019,JK,JK,JK,1.25,11/27/2019,Scout pro 400g,JK,10/31/2019
64,0,11/11/2019,JK,JK,JK,1.27,11/27/2019,Scout pro 400g,JK,10/31/2019
65,0,11/11/2019,JK,JK,JK,1.19,11/27/2019,Scout pro 400g,JK,10/31/2019
66,0,11/11/2019,JK,JK,JK,0.9,11/27/2019,Scout pro 400g,JK,10/31/2019
67,0,11/11/2019,JK,JK,JK,1.3,11/27/2019,Scout pro 400g,JK,10/31/2019
68,1,11/11/2019,JK,JK,JK,0.89,11/27/2019,Scout pro 400g,JK,10/31/2019
69,0,11/11/2019,JK,JK,JK,1.52,11/27/2019,Scout pro 400g,JK,10/31/2019
70,0,11/11/2019,JK,JK,JK,1.13,11/27/2019,Scout pro 400g,JK,10/31/2019
71,0,11/11/2019,JK,JK,JK,0.83,11/27/2019,Scout pro 400g,JK,10/31/2019
72,0,11/11/2019,JK,JK,JK,1.26,11/27/2019,Scout pro 400g,JK,10/31/2019
73,0,11/11/2019,JK,JK,JK,1.05,11/27/2019,Scout pro 400g,JK,10/31/2019
74,0,11/11/2019,JK,JK,JK,1.09,11/27/2019,Scout pro 400g,JK,10/31/2019
75,0,11/11/2019,JK,JK,JK,1.23,11/27/2019,Scout pro 400g,JK,10/31/2019
76,1,11/11/2019,JK,JK,JK,1.17,11/27/2019,Scout pro 400g,JK,10/31/2019
77,1,11/11/2019,JK,JK,JK,1.32,11/27/2019,Scout pro 400g,JK,10/31/2019
78,0,11/11/2019,JK,JK,JK,0.88,11/27/2019,Scout pro 400g,JK,10/31/2019
79,0,11/11/2019,JK,JK,JK,0.85,11/27/2019,Scout pro 400g,JK,10/31/2019
80,0,11/11/2019,JK,JK,JK,1.32,11/27/2019,Scout pro 400g,JK,10/31/2019
81,0,11/11/2019,JK,JK,JK,0.75,11/27/2019,Scout pro 400g,JK,10/31/2019
82,0,11/11/2019,JK,JK,JK,0.51,11/27/2019,Scout pro 400g,JK,10/31/2019
83,0,11/11/2019,JK,JK,JK,0.92,11/27/2019,Scout pro 400g,JK,10/31/2019
84,0,11/11/2019,JK,JK,JK,1,11/27/2019,Scout pro 400g,JK,10/31/2019
85,0,11/11/2019,JK,JK,JK,1.39,11/27/2019,Scout pro 400g,JK,10/31/2019
86,0,11/11/2019,JK,JK,JK,1.38,11/27/2019,Scout pro 400g,JK,10/31/2019
87,0,11/11/2019,JK,JK,JK,1.08,11/27/2019,Scout pro 400g,JK,10/31/2019
88,0,11/11/2019,JK,JK,JK,1.24,11/27/2019,Scout pro 400g,JK,10/31/2019
89,0,11/11/2019,JK,JK,JK,1.03,11/27/2019,Scout pro 400g,JK,10/31/2019
90,1,11/11/2019,JK,JK,JK,0.76,11/27/2019,Scout pro 400g,JK,10/31/2019
91,0,11/11/2019,JK,JK,JK,1.18,11/27/2019,Scout pro 400g,JK,10/31/2019
92,1,11/11/2019,JK,JK,JK,1.08,11/27/2019,Scout pro 400g,JK,10/31/2019
93,0,11/11/2019,JK,JK,JK,0.83,11/27/2019,Scout pro 400g,JK,10/31/2019
