"","PLANT_ID","days","Survey.event","Treat","EPICHL_TRT","COLLET_TRT","RHIZOC_TRT","NMDS1","NMDS2"
"55","102",6,3,"Epi (-) Col (+)","free","inoculated","mock",-0.0059618031243502,-0.035632674502208
"56","103",1,1,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"57","103",11,4,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"58","103",14,5,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"59","103",18,6,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00168043321778358,-0.0114160737750771
"60","103",21,7,"Epi (-) Rhiz (+)","free","mock","inoculated",0.00303721021350397,-0.00735237056587665
"61","103",25,8,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00346153789749692,0.00186376069019447
"62","103",28,9,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00959727752158399,0.0268326720219827
"63","103",32,10,"Epi (-) Rhiz (+)","free","mock","inoculated",0.0526888498060625,0.0522889285399616
"64","103",35,11,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.0113309692122634,0.0183219828759888
"65","103",39,12,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.0933378873238807,0.130216326283093
"66","103",4,2,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"67","103",42,13,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.0537046751369019,0.0146920559537011
"68","103",6,3,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"69","104",1,1,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"70","104",11,4,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.00500306377924219,-0.0332015049913855
"71","104",14,5,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"72","104",18,6,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",0.0100130586104447,0.00288967419393318
"73","104",21,7,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",0.0314297667596853,0.031895762383636
"74","104",25,8,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",0.0136090381243881,-0.0286294883427888
"75","104",28,9,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",0.0160332935318376,0.0378017496576234
"76","104",32,10,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.0273255146230779,-0.00284347364876427
"77","104",35,11,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.0133900025724415,-0.0108462248994048
"78","104",39,12,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.280481865617271,0.170228890558422
"79","104",4,2,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"80","104",42,13,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.196825327259655,0.114131662180184
"81","104",6,3,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"82","105",14,5,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"83","105",18,6,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",0.0384366248320432,0.0184924852367159
"84","105",21,7,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",0.0210648815097466,0.00789205998749672
"85","105",25,8,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",0.00753339326346803,-0.00306144868808122
"86","105",28,9,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",0.0343124736653585,0.0167171069418202
"87","105",32,10,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"88","105",35,11,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"89","105",39,12,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"90","105",42,13,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.0133900025724415,-0.0108462248994048
"91","106",1,1,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"92","106",11,4,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"93","106",14,5,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"94","106",18,6,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"95","106",21,7,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"96","106",25,8,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",0.027494611585265,0.0635423845829711
"97","106",28,9,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.0465318235752614,0.0490484077040627
"98","106",32,10,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.0133777193958296,0.0197382894615031
"99","106",35,11,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",0.00753339326346803,-0.00306144868808122
"100","106",39,12,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.022944192487698,-0.00441754369433888
"101","106",4,2,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"102","106",42,13,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.0636987717447509,0.024308658775911
"103","106",6,3,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"104","107",1,1,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"105","107",11,4,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"106","107",14,5,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.0663916886651399,0.0225439199385968
"107","107",18,6,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.0276804068544062,0.0212850366998342
"108","107",21,7,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.0320749170760387,0.286339241766271
"109","107",25,8,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.173851840126652,0.271989275085594
"110","107",28,9,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.231152789903811,0.178885323100082
"111","107",32,10,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.0282554197751135,0.139253459540038
"112","107",35,11,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.0375059828081515,0.00560410867610288
"113","107",39,12,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.0733488916025334,0.0291834500166535
"114","107",4,2,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"115","107",42,13,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.110102480749237,0.0587437641384609
"116","107",6,3,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"117","108",1,1,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"118","108",11,4,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"119","108",14,5,"Epi (-) Rhiz (+)","free","mock","inoculated",0.0210648815097466,0.00789205998749672
"120","108",18,6,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"121","108",21,7,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.0168378487798795,-0.0088092671839712
"122","108",25,8,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.0168378487798795,-0.0088092671839712
"123","108",28,9,"Epi (-) Rhiz (+)","free","mock","inoculated",0.00144136747760019,0.0042787563427921
"124","108",32,10,"Epi (-) Rhiz (+)","free","mock","inoculated",0.00144136747760019,0.0042787563427921
"125","108",35,11,"Epi (-) Rhiz (+)","free","mock","inoculated",0.00112812324626776,-0.00894840656764146
"126","108",39,12,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.0133900025724415,-0.0108462248994048
"127","108",4,2,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"128","108",42,13,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941864,-0.0160681804564693
"129","108",6,3,"Epi (-) Rhiz (+)","free","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"130","109",1,1,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"131","109",11,4,"Epi (+)","inoculated","mock","mock",-0.0060639497578319,-0.0800873833515437
"132","109",14,5,"Epi (+)","inoculated","mock","mock",0.105183313898979,-0.0583087865517015
"133","109",18,6,"Epi (+)","inoculated","mock","mock",0.147836184987411,-0.0196535616602999
"134","109",21,7,"Epi (+)","inoculated","mock","mock",0.162898461421248,0.0270014422613186
"135","109",25,8,"Epi (+)","inoculated","mock","mock",0.065915459775285,0.022697206923516
"136","109",28,9,"Epi (+)","inoculated","mock","mock",0.110050245787765,0.0494495208145066
"137","109",32,10,"Epi (+)","inoculated","mock","mock",0.0248444684217857,0.00317194923519136
"138","109",35,11,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"139","109",39,12,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"140","109",4,2,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"141","109",42,13,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"142","109",6,3,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"143","11",1,1,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"144","11",11,4,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00637286644324897,-0.0764263365451138
"145","11",14,5,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00637286644324897,-0.0764263365451138
"146","11",18,6,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",0.0178121681333561,-0.0179283312960495
"147","11",21,7,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",0.195907977908914,0.00331007478726352
"148","11",25,8,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",0.381822511464982,0.180438222839429
"149","11",28,9,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"150","11",32,10,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941864,-0.0160681804564693
"151","11",35,11,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"152","11",39,12,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.0133900025724415,-0.0108462248994048
"153","11",4,2,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"154","11",42,13,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.0194802424618024,-0.00688187356820655
"155","11",6,3,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"156","110",1,1,"Epi (-) Col (+)","free","inoculated","mock",-0.00744013478941865,-0.0160681804564693
"157","110",11,4,"Epi (-) Col (+)","free","inoculated","mock",-0.00744013478941865,-0.0160681804564693
"158","110",14,5,"Epi (-) Col (+)","free","inoculated","mock",0.00753339326346803,-0.00306144868808122
"159","110",18,6,"Epi (-) Col (+)","free","inoculated","mock",0.139352288593481,0.0582263487806241
"160","110",21,7,"Epi (-) Col (+)","free","inoculated","mock",0.0210648815097466,0.00789205998749672
"161","110",25,8,"Epi (-) Col (+)","free","inoculated","mock",0.0210648815097466,0.00789205998749672
"162","110",28,9,"Epi (-) Col (+)","free","inoculated","mock",0.00753339326346803,-0.00306144868808122
"163","110",32,10,"Epi (-) Col (+)","free","inoculated","mock",0.00753339326346803,-0.00306144868808122
"164","110",35,11,"Epi (-) Col (+)","free","inoculated","mock",-0.00744013478941865,-0.0160681804564693
"165","110",39,12,"Epi (-) Col (+)","free","inoculated","mock",-0.00744013478941865,-0.0160681804564693
"166","110",4,2,"Epi (-) Col (+)","free","inoculated","mock",-0.00744013478941865,-0.0160681804564693
"167","110",42,13,"Epi (-) Col (+)","free","inoculated","mock",-0.00744013478941865,-0.0160681804564693
"168","110",6,3,"Epi (-) Col (+)","free","inoculated","mock",-0.00744013478941865,-0.0160681804564693
"169","111",1,1,"Epi (+) Col (+)","inoculated","inoculated","mock",-0.00744013478941865,-0.0160681804564693
"170","111",11,4,"Epi (+) Col (+)","inoculated","inoculated","mock",-0.00744013478941865,-0.0160681804564693
"171","111",14,5,"Epi (+) Col (+)","inoculated","inoculated","mock",-0.0818992313142047,0.0637051326064753
"172","111",18,6,"Epi (+) Col (+)","inoculated","inoculated","mock",-0.0208663584881061,0.0173952216402096
"173","111",21,7,"Epi (+) Col (+)","inoculated","inoculated","mock",-0.0537046751369019,0.0146920559537011
"174","111",25,8,"Epi (+) Col (+)","inoculated","inoculated","mock",-0.0308385798728065,0.0843824035401065
